study_id,rows,cols,spacing_y_mm,spacing_x_mm,n_slices,z_spacing_mm,slice_thickness_tag_mm,spacing_between_slices_mm
1.2.826.0.1.3680043.10001,512,512,0.253906,0.253906,268,0.625,0.625,
1.2.826.0.1.3680043.10005,512,512,0.298828,0.298828,259,0.625,0.625,
1.2.826.0.1.3680043.10014,512,512,0.234,0.234,258,0.8,1.0,
1.2.826.0.1.3680043.10016,512,512,0.275391,0.275391,645,0.3125,0.625,
1.2.826.0.1.3680043.10032,512,512,0.320313,0.320313,321,0.625,0.625,
1.2.826.0.1.3680043.10041,512,512,0.29296875,0.29296875,220,1.0,1.0,
1.2.826.0.1.3680043.10051,512,512,0.253906,0.253906,272,0.625,0.625,
1.2.826.0.1.3680043.10058,512,512,0.351,0.351,576,0.4,0.5,
1.2.826.0.1.3680043.10062,512,512,0.253906,0.253906,363,0.625,0.625,
1.2.826.0.1.3680043.1010,512,512,0.327,0.327,226,0.8,1.0,
1.2.826.0.1.3680043.10136,512,512,0.289063,0.289063,358,0.6250028011204481,0.625,
1.2.826.0.1.3680043.1016,512,512,0.380859375,0.380859375,230,1.0,1.0,
1.2.826.0.1.3680043.10179,512,512,0.332031,0.332031,276,0.625,0.625,
1.2.826.0.1.3680043.10204,512,512,0.416016,0.416016,331,0.625,0.625,
1.2.826.0.1.3680043.10230,512,512,0.292969,0.292969,337,0.625,0.625,
1.2.826.0.1.3680043.10261,512,512,0.544921994209,0.544921994209,308,0.625,0.625,
1.2.826.0.1.3680043.10360,512,512,0.390625,0.390625,399,0.49999999999999983,1.0,
1.2.826.0.1.3680043.10400,512,512,0.332031,0.332031,270,0.625,0.625,
1.2.826.0.1.3680043.10412,512,512,0.355469,0.355469,685,0.3125,0.625,
1.2.826.0.1.3680043.10431,512,512,0.542968988419,0.542968988419,339,0.625,0.625,
1.2.826.0.1.3680043.10443,512,512,0.347,0.347,601,0.4,0.5,
1.2.826.0.1.3680043.10449,512,512,0.259,0.259,466,0.4,0.5,
1.2.826.0.1.3680043.10515,512,512,0.310547,0.310547,358,0.625,0.625,
1.2.826.0.1.3680043.10520,512,512,0.332031,0.332031,312,0.625,0.625,
1.2.826.0.1.3680043.10541,512,512,0.31640625,0.31640625,526,0.4,0.6,
1.2.826.0.1.3680043.10579,512,512,0.328125,0.328125,184,1.0,1.0,
1.2.826.0.1.3680043.10606,512,512,0.28515625,0.28515625,427,0.5,1.0,
1.2.826.0.1.3680043.10608,512,512,0.29,0.29,406,0.4,0.5,
1.2.826.0.1.3680043.10614,512,512,0.253906,0.253906,260,0.625,0.625,
1.2.826.0.1.3680043.1062,512,512,0.226999998093,0.226999998093,201,0.8,1.0,
1.2.826.0.1.3680043.10628,512,512,0.265625,0.265625,188,1.0,1.0,
1.2.826.0.1.3680043.10633,512,512,0.28515625,0.28515625,429,0.5000000000000001,1.0,
1.2.826.0.1.3680043.10639,512,512,0.405,0.405,296,0.8,1.0,
1.2.826.0.1.3680043.10673,512,512,0.26171875,0.26171875,225,1.0,1.0,
1.2.826.0.1.3680043.10678,512,512,0.261,0.261,269,0.7999999999999999,1.0,
1.2.826.0.1.3680043.10697,512,512,0.267578125,0.267578125,179,1.0,1.0,
1.2.826.0.1.3680043.1071,512,512,0.327,0.327,309,0.7999999999999999,1.0,
1.2.826.0.1.3680043.10725,512,512,0.346,0.346,279,0.7999999999999999,1.0,
1.2.826.0.1.3680043.10732,512,512,0.240234375,0.240234375,218,1.0000000000000002,1.0,
1.2.826.0.1.3680043.10742,512,512,0.253906,0.253906,273,0.625,0.625,
1.2.826.0.1.3680043.10776,512,512,0.326171994209,0.326171994209,249,0.625,0.625,
1.2.826.0.1.3680043.10781,512,512,0.33984375,0.33984375,235,1.0000000000000002,1.0,
1.2.826.0.1.3680043.10815,512,512,0.265625,0.265625,242,0.625,0.625,
1.2.826.0.1.3680043.10842,512,512,0.236328,0.236328,291,0.625,0.625,
1.2.826.0.1.3680043.10856,512,512,0.389,0.389,533,0.3999999999999999,0.5,
1.2.826.0.1.3680043.10909,512,512,0.253906,0.253906,365,0.625,0.625,
1.2.826.0.1.3680043.10921,512,512,0.332031,0.332031,339,0.625,0.625,
1.2.826.0.1.3680043.10945,512,512,0.232421994209,0.232421994209,219,0.625,0.625,
1.2.826.0.1.3680043.11013,512,512,0.32,0.32,511,0.4,0.5,
