study_id,pixel_accuracy,mean_dice,mean_iou
1.2.826.0.1.3680043.24891,0.998266,0.918526,0.855769
1.2.826.0.1.3680043.10633,0.997364,0.869688,0.782890
1.2.826.0.1.3680043.19333,0.998672,0.962160,0.927465
1.2.826.0.1.3680043.25704,0.998633,0.932729,0.874999
1.2.826.0.1.3680043.18906,0.994421,0.895937,0.839540
1.2.826.0.1.3680043.24140,0.997394,0.889907,0.813767
1.2.826.0.1.3680043.1542,0.998806,0.949647,0.905201
1.2.826.0.1.3680043.5783,0.995489,0.789016,0.690235
1.2.826.0.1.3680043.12281,0.997731,0.948236,0.902602
1.2.826.0.1.3680043.16092,0.994899,0.798269,0.710201
1.2.826.0.1.3680043.30067,0.998073,0.927536,0.868133
1.2.826.0.1.3680043.26068,0.995958,0.931983,0.875300
1.2.826.0.1.3680043.5002,0.998416,0.949145,0.904035
1.2.826.0.1.3680043.26442,0.997898,0.919619,0.855645
1.2.826.0.1.3680043.5671,0.997529,0.934286,0.879402
1.2.826.0.1.3680043.28025,0.997751,0.927328,0.867025
1.2.826.0.1.3680043.6376,0.998491,0.943564,0.894139
