epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.17,0.92627,0.04343,0.08305,0.7235,1.13653,0.9691,0.93526,0.96685,0.77147,0.9757,0.95296,0.98131,0.9805,0.72531,0.02996,0.01135,0.63665,0.8285,0.00333115,0.00333115,0.00333115
2,381.851,0.76429,0.01586,0.00595,0.50333,1.01335,0.97947,0.92726,0.96265,0.82499,0.98764,0.94326,0.97894,0.97782,0.59233,0.02017,0.00466,0.53746,0.80798,0.00666286,0.00666286,0.00666286
3,546.933,0.79264,0.01331,0.00445,0.52359,1.01828,0.97044,0.92435,0.96012,0.76873,0.98119,0.9359,0.98119,0.97928,0.71017,0.02748,0.00181,0.7424,0.86043,0.00998806,0.00998806,0.00998806
4,710.707,0.78656,0.01373,0.00633,0.51919,1.01826,0.97529,0.94745,0.96747,0.81627,0.9869,0.96193,0.98514,0.98443,0.6207,0.01874,0.00171,0.49502,0.8189,0.00997803,0.00997803,0.00997803
5,871.512,0.70693,0.01147,0.00241,0.44847,0.98258,0.97111,0.94544,0.96995,0.83172,0.98259,0.95783,0.98294,0.9824,0.58522,0.01982,0.00128,0.68229,0.79449,0.00996097,0.00996097,0.00996097
6,1032.45,0.66174,0.01077,0.00097,0.42274,0.95665,0.94713,0.92968,0.96861,0.85723,0.95734,0.94133,0.98102,0.98059,0.52767,0.01616,0.00095,0.45742,0.78164,0.00993906,0.00993906,0.00993906
7,1194.51,0.62314,0.00951,0.00118,0.39872,0.94329,0.97554,0.94785,0.97374,0.8548,0.98602,0.95791,0.98795,0.98673,0.52221,0.01613,0.00184,0.49476,0.78015,0.00991232,0.00991232,0.00991232
8,1358.24,0.60719,0.00939,0.00074,0.38468,0.93916,0.98453,0.95674,0.97701,0.85839,0.99172,0.96605,0.98573,0.98546,0.52191,0.01514,0.00104,0.47188,0.7777,0.00988079,0.00988079,0.00988079
9,1521.02,0.58109,0.00906,0.00214,0.37658,0.9288,0.97504,0.94714,0.9754,0.87994,0.98997,0.95726,0.98408,0.98396,0.49015,0.01609,0.00092,0.39605,0.76936,0.00984449,0.00984449,0.00984449
10,1683.87,0.57527,0.00906,0.00091,0.35802,0.91891,0.98359,0.9532,0.97667,0.8907,0.99361,0.96605,0.98591,0.98579,0.47443,0.01405,0.00077,0.36469,0.76412,0.00980345,0.00980345,0.00980345
11,1845.01,0.55727,0.00865,0.00178,0.34713,0.91382,0.94024,0.95126,0.96934,0.85311,0.94967,0.96085,0.98181,0.98141,0.56953,0.01931,0.00108,0.37986,0.77601,0.00975773,0.00975773,0.00975773
12,2009.34,0.5528,0.00825,0.00106,0.3446,0.91843,0.98504,0.95344,0.97913,0.89676,0.993,0.96383,0.98964,0.98918,0.4555,0.01558,0.00057,0.34633,0.75947,0.00970736,0.00970736,0.00970736
13,2169.91,0.52691,0.00941,0.00066,0.33045,0.90565,0.98638,0.9549,0.97723,0.8988,0.99305,0.96532,0.98682,0.98645,0.43106,0.02069,0.00055,0.33905,0.75687,0.00965239,0.00965239,0.00965239
14,2331.64,0.53241,0.0073,0.00032,0.33207,0.91181,0.96053,0.9515,0.97573,0.90158,0.96589,0.9683,0.98523,0.98471,0.43492,0.01855,0.00072,0.3288,0.75978,0.00959289,0.00959289,0.00959289
15,2493.87,0.52685,0.00715,0.00021,0.31882,0.90634,0.97918,0.95951,0.97888,0.90914,0.98837,0.96873,0.98572,0.98563,0.42016,0.01808,0.00055,0.34153,0.74247,0.00952889,0.00952889,0.00952889
16,2654.37,0.51374,0.0065,0.00066,0.32326,0.90574,0.98211,0.95878,0.9798,0.91303,0.99195,0.97139,0.98751,0.9872,0.40683,0.01455,0.00062,0.32593,0.74295,0.00946048,0.00946048,0.00946048
17,2816.9,0.50714,0.00656,0.00146,0.31101,0.89845,0.98589,0.95708,0.97696,0.91125,0.9943,0.96751,0.98695,0.9867,0.41597,0.01797,0.00135,0.31892,0.74784,0.00938772,0.00938772,0.00938772
18,2980.28,0.50416,0.00668,0.00046,0.31333,0.89314,0.98826,0.95901,0.97911,0.90899,0.99775,0.96905,0.98719,0.98701,0.41943,0.0204,0.0005,0.31295,0.7448,0.00931067,0.00931067,0.00931067
19,3142.75,0.49462,0.00638,0.00099,0.31035,0.8968,0.98825,0.95826,0.98131,0.91673,0.99775,0.96749,0.98772,0.98744,0.39778,0.03011,0.00059,0.30411,0.74152,0.00922942,0.00922942,0.00922942
20,3305.72,0.48321,0.00672,0.00067,0.30154,0.88942,0.98186,0.95825,0.98006,0.91358,0.9918,0.96834,0.98897,0.9883,0.40707,0.01905,0.00112,0.31433,0.74833,0.00914405,0.00914405,0.00914405
21,3466.69,0.49687,0.0064,0.00106,0.30522,0.89384,0.98662,0.96193,0.98157,0.91851,0.99503,0.97103,0.98833,0.9882,0.39218,0.01461,0.00091,0.29843,0.74283,0.00905463,0.00905463,0.00905463
22,3627.6,0.47723,0.00638,0.00068,0.29657,0.8888,0.98729,0.9612,0.98185,0.91853,0.99405,0.97255,0.98916,0.98896,0.39389,0.01366,0.00061,0.29698,0.74224,0.00896127,0.00896127,0.00896127
23,3789.49,0.46757,0.00634,0.00055,0.28439,0.88466,0.98627,0.95829,0.97989,0.91709,0.99479,0.97144,0.98962,0.98885,0.39313,0.02264,0.00058,0.30045,0.74344,0.00886404,0.00886404,0.00886404
24,3951.83,0.46481,0.00757,0.00046,0.28675,0.88351,0.95861,0.96042,0.97638,0.91865,0.96863,0.97332,0.98584,0.98557,0.38435,0.01544,0.00046,0.3229,0.74183,0.00876305,0.00876305,0.00876305
25,4112.51,0.46406,0.0057,0.00032,0.28502,0.88028,0.97607,0.96048,0.98037,0.92333,0.98498,0.97013,0.98932,0.98833,0.38083,0.01239,0.00043,0.30558,0.73312,0.00865839,0.00865839,0.00865839
26,4273.94,0.4497,0.00593,0.00066,0.27989,0.87687,0.98752,0.95915,0.98143,0.92514,0.997,0.96837,0.98921,0.98907,0.3766,0.01145,0.00042,0.29174,0.73562,0.00855018,0.00855018,0.00855018
27,4435.01,0.4562,0.00569,0.00133,0.28443,0.88165,0.98382,0.95844,0.98093,0.92231,0.99447,0.97066,0.98969,0.98933,0.38076,0.01304,0.00062,0.29756,0.73411,0.00843851,0.00843851,0.00843851
28,4595.68,0.44722,0.00575,0.00123,0.27932,0.87594,0.98775,0.95827,0.98085,0.92034,0.99651,0.97009,0.98977,0.9894,0.3876,0.01473,0.00056,0.28927,0.73799,0.00832349,0.00832349,0.00832349
29,4756.72,0.44273,0.00552,0.00225,0.27432,0.87504,0.98838,0.95926,0.98175,0.92264,0.99674,0.96945,0.99082,0.9904,0.39146,0.01508,0.00046,0.29575,0.73593,0.00820525,0.00820525,0.00820525
30,4918.78,0.44052,0.00551,0.00056,0.26682,0.87716,0.98629,0.95908,0.97966,0.9209,0.99701,0.96969,0.98978,0.98929,0.39963,0.02201,0.00039,0.30247,0.7399,0.00808389,0.00808389,0.00808389
31,5081.54,0.44336,0.00636,0.00125,0.2678,0.87685,0.98579,0.95878,0.97981,0.92241,0.99701,0.9691,0.9899,0.98966,0.39436,0.01707,0.00039,0.29784,0.74371,0.00795954,0.00795954,0.00795954
32,5243.6,0.44516,0.00586,0.00161,0.27158,0.8764,0.98577,0.95723,0.97978,0.92399,0.99626,0.96867,0.98963,0.98946,0.38791,0.01557,0.00034,0.29769,0.74368,0.00783231,0.00783231,0.00783231
33,5405.65,0.42652,0.00542,0.00081,0.26276,0.86141,0.98575,0.95637,0.98001,0.92487,0.996,0.96692,0.98969,0.98952,0.38329,0.01921,0.00035,0.29668,0.74395,0.00770234,0.00770234,0.00770234
34,5566.76,0.43964,0.00608,0.00057,0.27578,0.87024,0.9863,0.95781,0.98105,0.9272,0.99602,0.96848,0.99022,0.99004,0.3749,0.01622,0.00032,0.28064,0.73833,0.00756976,0.00756976,0.00756976
35,5728.95,0.42528,0.00551,0.0004,0.26167,0.86747,0.988,0.95804,0.98097,0.92811,0.99765,0.96775,0.99011,0.98999,0.37279,0.01428,0.00036,0.28451,0.73715,0.00743468,0.00743468,0.00743468
36,5890.8,0.42243,0.0055,0.00167,0.26013,0.86074,0.98728,0.95854,0.9806,0.92791,0.99674,0.96799,0.9904,0.99,0.37442,0.01309,0.00037,0.28978,0.7377,0.00729725,0.00729725,0.00729725
37,6053.6,0.42524,0.00521,0.00032,0.25465,0.87527,0.98579,0.95905,0.98042,0.9277,0.99543,0.96896,0.99053,0.98995,0.37743,0.01343,0.00036,0.29426,0.73877,0.00715761,0.00715761,0.00715761
38,6214.19,0.4165,0.00449,0.00037,0.25503,0.8651,0.9858,0.95935,0.98045,0.9279,0.99614,0.96969,0.9905,0.99012,0.37612,0.01481,0.00036,0.28773,0.7391,0.00701588,0.00701588,0.00701588
39,6377.37,0.40914,0.00469,0.00129,0.24568,0.85911,0.98519,0.95926,0.9813,0.9281,0.99577,0.96995,0.99053,0.99004,0.37459,0.01711,0.00039,0.28705,0.73916,0.00687222,0.00687222,0.00687222
40,6538.68,0.41677,0.00446,0.00047,0.2493,0.86167,0.9862,0.95902,0.98142,0.92816,0.99552,0.96994,0.9907,0.9901,0.37123,0.01914,0.0004,0.28359,0.73759,0.00672675,0.00672675,0.00672675
41,6699.05,0.41094,0.00517,0.00019,0.25403,0.85821,0.9851,0.96048,0.98181,0.9283,0.99552,0.97096,0.99093,0.99011,0.37305,0.02027,0.00041,0.28335,0.73736,0.00657963,0.00657963,0.00657963
42,6861.7,0.39978,0.00447,0.00041,0.24163,0.85612,0.98606,0.96053,0.98235,0.92899,0.99528,0.97213,0.99105,0.99029,0.37202,0.02047,0.00038,0.2833,0.73652,0.00643101,0.00643101,0.00643101
43,7023.36,0.39932,0.00451,0.00035,0.24343,0.85455,0.98607,0.96092,0.98266,0.9297,0.99597,0.97114,0.99109,0.99042,0.36966,0.0203,0.00037,0.28398,0.7337,0.00628101,0.00628101,0.00628101
44,7185.34,0.39531,0.00424,0.00152,0.24008,0.85578,0.98558,0.96127,0.98276,0.93039,0.99422,0.9726,0.99115,0.99052,0.36838,0.02128,0.00035,0.28593,0.73286,0.00612981,0.00612981,0.00612981
45,7347.46,0.39532,0.00435,0.00034,0.24034,0.85415,0.98492,0.9612,0.98272,0.93079,0.9956,0.97163,0.99107,0.99056,0.36737,0.02194,0.00033,0.28617,0.73294,0.00597754,0.00597754,0.00597754
46,7510.37,0.39416,0.00445,0.00099,0.23511,0.85248,0.98509,0.96121,0.98249,0.93115,0.99572,0.97187,0.99096,0.99057,0.36731,0.02241,0.00032,0.28706,0.73342,0.00582435,0.00582435,0.00582435
47,7672.2,0.39154,0.00416,0.00063,0.23176,0.85286,0.98493,0.96193,0.98279,0.93162,0.99549,0.97284,0.991,0.99068,0.36715,0.02239,0.0003,0.28796,0.7337,0.0056704,0.0056704,0.0056704
48,7834.36,0.38389,0.00419,0.00034,0.23871,0.8453,0.98559,0.96183,0.98295,0.93233,0.99517,0.97308,0.99109,0.99069,0.36625,0.02192,0.00031,0.28575,0.73331,0.00551584,0.00551584,0.00551584
49,7995.84,0.38611,0.00395,0.00017,0.23497,0.84324,0.98534,0.96149,0.98279,0.93189,0.99578,0.97295,0.99112,0.99079,0.36624,0.02206,0.0003,0.28544,0.73332,0.00536081,0.00536081,0.00536081
50,8156.47,0.38043,0.0047,0.00073,0.22921,0.84576,0.98485,0.9613,0.9826,0.93181,0.99578,0.97267,0.99123,0.99093,0.3675,0.02247,0.0003,0.28381,0.7339,0.00520548,0.00520548,0.00520548
51,8320.18,0.38679,0.00393,0.00133,0.23122,0.84912,0.98484,0.96069,0.98268,0.93198,0.99578,0.97252,0.99139,0.99103,0.36806,0.02285,0.00031,0.28439,0.73415,0.00505,0.00505,0.00505
52,8483.07,0.37484,0.00496,0.00174,0.22544,0.84319,0.98483,0.96057,0.98279,0.9321,0.99495,0.97357,0.99159,0.99121,0.36752,0.02342,0.00031,0.28407,0.73388,0.00489452,0.00489452,0.00489452
53,8644.39,0.36858,0.00384,0.00018,0.22299,0.8468,0.98548,0.96096,0.98288,0.93208,0.9943,0.97381,0.99184,0.99138,0.36785,0.02442,0.00029,0.28315,0.73374,0.00473919,0.00473919,0.00473919
54,8806.21,0.36983,0.00448,0.00132,0.22124,0.84456,0.98528,0.96145,0.98289,0.93255,0.99378,0.97357,0.99192,0.99168,0.36875,0.02464,0.0003,0.28246,0.73416,0.00458416,0.00458416,0.00458416
55,8967.21,0.36939,0.00355,0.00117,0.22507,0.84668,0.98486,0.96244,0.98289,0.93253,0.99603,0.97355,0.99202,0.9918,0.36976,0.02501,0.0003,0.28159,0.73436,0.0044296,0.0044296,0.0044296
56,9128.65,0.3597,0.00349,0.00044,0.21572,0.84283,0.98486,0.96208,0.98297,0.93193,0.99603,0.97334,0.99217,0.99193,0.37076,0.02526,0.0003,0.28143,0.73468,0.00427565,0.00427565,0.00427565
57,9289.92,0.36434,0.00367,0.00067,0.21057,0.83809,0.98486,0.96222,0.98288,0.93211,0.99617,0.97405,0.99229,0.99205,0.37088,0.02541,0.00029,0.28144,0.73476,0.00412246,0.00412246,0.00412246
58,9451.22,0.3562,0.00365,0.00032,0.21135,0.83752,0.98485,0.96178,0.98284,0.9323,0.99603,0.97411,0.99237,0.99211,0.37129,0.02583,0.00029,0.28118,0.73493,0.00397019,0.00397019,0.00397019
