epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,159.127,0.8793,0.02457,0.01645,0.57257,1.06461,0.93359,0.91701,0.95452,0.78453,0.95474,0.94128,0.97809,0.97676,0.80324,0.0432,8e-05,0.66025,0.94478,0.067023,0.000333101,0.000333101
2,295.128,0.74599,0.01492,4e-05,0.46234,0.98764,0.96416,0.94714,0.97007,0.7824,0.98269,0.96363,0.9836,0.98287,0.78865,0.02648,3e-05,0.51558,0.89123,0.0340228,0.000666271,0.000666271
3,427.877,0.69644,0.0125,2e-05,0.43362,0.96707,0.96142,0.93501,0.96747,0.80444,0.97068,0.94728,0.98089,0.97995,0.72193,0.01769,2e-05,0.58831,0.86443,0.00102204,0.000998791,0.000998791
4,561.197,0.65027,0.01083,1e-05,0.40107,0.9444,0.9723,0.9533,0.97337,0.83853,0.98168,0.96702,0.98423,0.98374,0.62028,0.01819,1e-05,0.51878,0.84707,0.000997803,0.000997803,0.000997803
5,692.644,0.6157,0.01004,0.0005,0.37725,0.9313,0.98251,0.95331,0.97701,0.85529,0.99175,0.96188,0.98516,0.98488,0.5771,0.01631,1e-05,0.40745,0.82952,0.000996097,0.000996097,0.000996097
6,825.502,0.58071,0.00901,0.00065,0.35782,0.91813,0.98448,0.95441,0.97802,0.83545,0.9945,0.96486,0.98739,0.98713,0.64245,0.01653,1e-05,0.48597,0.8552,0.000993906,0.000993906,0.000993906
7,958.824,0.56208,0.00836,0.00019,0.34381,0.91009,0.9822,0.95538,0.97625,0.8817,0.99292,0.96581,0.98494,0.9847,0.46379,0.02031,1e-05,0.41514,0.78338,0.000991232,0.000991232,0.000991232
8,1091.3,0.54503,0.00816,0,0.33074,0.90367,0.98016,0.95732,0.97409,0.88149,0.9898,0.96491,0.98671,0.98618,0.5128,0.018,1e-05,0.41795,0.81522,0.000988079,0.000988079,0.000988079
9,1224.01,0.5281,0.00763,0.00198,0.32367,0.89711,0.98216,0.95514,0.97769,0.88211,0.99045,0.96339,0.9861,0.98537,0.50565,0.0167,1e-05,0.43411,0.80807,0.000984449,0.000984449,0.000984449
10,1356.72,0.51313,0.00757,0.0002,0.31126,0.89048,0.98788,0.94834,0.97744,0.89089,0.99572,0.95884,0.98667,0.9865,0.45329,0.01191,1e-05,0.38209,0.78337,0.000980345,0.000980345,0.000980345
11,1489.07,0.50406,0.00709,0.00039,0.30618,0.8875,0.98135,0.95514,0.97936,0.89999,0.99237,0.96775,0.98729,0.98716,0.45915,0.01507,1e-05,0.35729,0.79339,0.000975773,0.000975773,0.000975773
12,1620.97,0.49646,0.00697,0.00133,0.29808,0.88575,0.98454,0.95731,0.97993,0.88395,0.99357,0.96654,0.98724,0.98708,0.48674,0.01394,1e-05,0.34902,0.79724,0.000970736,0.000970736,0.000970736
13,1753.1,0.48106,0.0066,0.00019,0.29111,0.8801,0.98954,0.95344,0.9792,0.90781,0.99076,0.97042,0.98764,0.98735,0.43823,0.01586,1e-05,0.33567,0.79457,0.000965239,0.000965239,0.000965239
14,1886.61,0.47427,0.00646,0.00055,0.28557,0.8783,0.98695,0.9536,0.9816,0.89826,0.99031,0.96687,0.98913,0.98906,0.44184,0.01616,1e-05,0.31059,0.78456,0.000959289,0.000959289,0.000959289
15,2016.8,0.47005,0.00633,0.00013,0.28255,0.87574,0.98876,0.9566,0.982,0.90529,0.99542,0.96848,0.99092,0.98907,0.42196,0.00991,1e-05,0.31563,0.7785,0.000952889,0.000952889,0.000952889
16,2149.56,0.46056,0.00605,1e-05,0.27661,0.87069,0.98651,0.95789,0.98298,0.91234,0.997,0.96811,0.98988,0.98925,0.41261,0.00955,1e-05,0.30454,0.78344,0.000946048,0.000946048,0.000946048
17,2282.95,0.45054,0.00611,1e-05,0.27185,0.86859,0.98739,0.95611,0.9824,0.90915,0.99339,0.97163,0.99087,0.99001,0.43417,0.00936,1e-05,0.30789,0.7832,0.000938772,0.000938772,0.000938772
18,2415.06,0.44652,0.00592,1e-05,0.26753,0.8676,0.98366,0.96356,0.98298,0.92162,0.99536,0.97163,0.99204,0.99162,0.39616,0.01365,1e-05,0.3267,0.77399,0.000931067,0.000931067,0.000931067
19,2547.79,0.44066,0.00554,1e-05,0.2643,0.86442,0.98414,0.96273,0.98235,0.9156,0.9929,0.97502,0.99301,0.99278,0.40269,0.01598,1e-05,0.30625,0.783,0.000922942,0.000922942,0.000922942
20,2678.22,0.43404,0.00569,0.00102,0.26005,0.8626,0.98603,0.95864,0.98274,0.91524,0.99478,0.97111,0.99222,0.99152,0.41268,0.01309,2e-05,0.29248,0.78643,0.000914405,0.000914405,0.000914405
21,2810.21,0.42622,0.00544,1e-05,0.25354,0.85931,0.98823,0.96242,0.98389,0.91747,0.99669,0.97066,0.9925,0.99163,0.39715,0.01103,1e-05,0.28489,0.77628,0.000905463,0.000905463,0.000905463
22,2941.85,0.42671,0.00537,1e-05,0.25158,0.8603,0.98647,0.96266,0.98466,0.92233,0.995,0.97333,0.99318,0.99237,0.40061,0.0118,1e-05,0.28257,0.77993,0.000896127,0.000896127,0.000896127
23,3074.71,0.41981,0.00517,1e-05,0.24716,0.85863,0.98582,0.96061,0.9839,0.92007,0.99554,0.97334,0.99264,0.99218,0.39203,0.01636,1e-05,0.35637,0.77898,0.000886404,0.000886404,0.000886404
24,3206.15,0.41694,0.00527,1e-05,0.24718,0.85406,0.98709,0.95878,0.98251,0.91792,0.99357,0.9746,0.99217,0.99197,0.39575,0.0179,1e-05,0.28956,0.77728,0.000876305,0.000876305,0.000876305
25,3338.37,0.40999,0.00507,1e-05,0.24234,0.85117,0.98341,0.95975,0.98274,0.92239,0.99395,0.97405,0.9918,0.9915,0.38218,0.0227,1e-05,0.32608,0.77638,0.000865839,0.000865839,0.000865839
26,3470.86,0.40538,0.00506,0.00054,0.23843,0.85119,0.98675,0.95999,0.98363,0.92324,0.99439,0.97066,0.99025,0.99,0.38111,0.00868,1e-05,0.27868,0.77122,0.000855018,0.000855018,0.000855018
27,3602.86,0.40149,0.00507,0.00115,0.23309,0.85165,0.98877,0.96066,0.98466,0.92602,0.99525,0.97357,0.99297,0.99253,0.36994,0.01706,1e-05,0.27365,0.77131,0.000843851,0.000843851,0.000843851
28,3735.14,0.39872,0.00467,0.00087,0.23366,0.84804,0.98295,0.96442,0.98401,0.92592,0.99186,0.97488,0.99184,0.99132,0.36879,0.01697,1e-05,0.27057,0.76841,0.000832349,0.000832349,0.000832349
29,3868.22,0.39552,0.00487,1e-05,0.22875,0.84644,0.9851,0.96194,0.9837,0.92534,0.99431,0.97422,0.98935,0.98914,0.37162,0.01864,1e-05,0.26518,0.77139,0.000820525,0.000820525,0.000820525
30,3998.27,0.39196,0.00477,0.00071,0.23031,0.8457,0.98511,0.96266,0.98442,0.92971,0.99431,0.97458,0.99209,0.99126,0.36234,0.01901,1e-05,0.27345,0.77011,0.000808389,0.000808389,0.000808389
31,4130.59,0.38307,0.00473,1e-05,0.2235,0.84423,0.98464,0.96345,0.98396,0.92868,0.99504,0.9736,0.99154,0.99089,0.36109,0.01949,1e-05,0.26815,0.76681,0.000795954,0.000795954,0.000795954
32,4262.87,0.38302,0.00456,0.00114,0.22436,0.84283,0.9834,0.96246,0.98413,0.92898,0.99308,0.97409,0.99087,0.99025,0.36,0.0251,1e-05,0.2689,0.76647,0.000783231,0.000783231,0.000783231
33,4395.21,0.38031,0.00471,0.00013,0.22183,0.83962,0.98291,0.96234,0.98415,0.92734,0.99186,0.9754,0.99187,0.99089,0.36445,0.02512,1e-05,0.26185,0.76958,0.000770234,0.000770234,0.000770234
34,4527.14,0.37682,0.00437,0.00043,0.21956,0.83879,0.98415,0.96339,0.98431,0.92692,0.9926,0.9743,0.9922,0.99134,0.36356,0.02422,1e-05,0.25456,0.77044,0.000756976,0.000756976,0.000756976
