accuracy,dice_score,iou,foreground_accuracy,foreground_dice_score,foreground_iou,acc_0_background,dice_0_background,iou_0_background,acc_1_C1,dice_1_C1,iou_1_C1,acc_2_C2,dice_2_C2,iou_2_C2,acc_3_C3,dice_3_C3,iou_3_C3,acc_4_C4,dice_4_C4,iou_4_C4,acc_5_C5,dice_5_C5,iou_5_C5,acc_6_C6,dice_6_C6,iou_6_C6,acc_7_C7,dice_7_C7,iou_7_C7,acc_8_other,dice_8_other,iou_8_other,study_id
0.987622,0.859438,0.768742,0.822239,0.842419,0.740934,0.997477,0.995585,0.991209,0.932643,0.947440,0.900129,0.941914,0.955182,0.914209,0.912239,0.926351,0.862806,0.807965,0.847450,0.735283,0.796855,0.812919,0.684804,0.830610,0.748868,0.598552,0.521384,0.629747,0.459585,0.834303,0.871398,0.772103,1.2.826.0.1.3680043.5783
0.985028,0.901910,0.848938,0.958251,0.890617,0.831977,0.985835,0.992254,0.984628,0.956896,0.950212,0.905146,0.966783,0.958129,0.919624,0.945590,0.947681,0.900565,0.967129,0.949891,0.904564,0.957165,0.950965,0.906513,0.950948,0.949326,0.903541,0.966464,0.955138,0.914129,0.955032,0.463591,0.301737,1.2.826.0.1.3680043.18906
0.993790,0.920129,0.856209,0.915413,0.910468,0.838880,0.997692,0.997412,0.994838,0.941273,0.932712,0.873909,0.969495,0.952683,0.909641,0.935124,0.943000,0.892148,0.954696,0.941948,0.890266,0.898030,0.914380,0.842265,0.880285,0.907452,0.830583,0.893263,0.795214,0.660046,0.851142,0.896357,0.812181,1.2.826.0.1.3680043.24891
0.996074,0.936816,0.882033,0.918254,0.929168,0.867785,0.998377,0.998004,0.996016,0.931659,0.932299,0.873184,0.940417,0.936734,0.880997,0.901373,0.931292,0.871418,0.938119,0.937133,0.881703,0.933072,0.933749,0.875730,0.895295,0.920696,0.853046,0.906370,0.923817,0.858419,0.899730,0.917622,0.847784,1.2.826.0.1.3680043.25704
0.992727,0.937583,0.883901,0.924142,0.930213,0.870251,0.996963,0.996538,0.993100,0.945156,0.941180,0.888895,0.946593,0.945408,0.896467,0.919318,0.927651,0.865064,0.864635,0.902473,0.822278,0.908609,0.890450,0.802532,0.932200,0.937101,0.881647,0.923380,0.940477,0.887643,0.953249,0.956965,0.917482,1.2.826.0.1.3680043.16092
0.995378,0.940160,0.889656,0.935123,0.932976,0.876454,0.997534,0.997632,0.995274,0.835501,0.837735,0.720777,0.954480,0.950751,0.906126,0.935020,0.935451,0.878731,0.934367,0.935651,0.879083,0.946502,0.945243,0.896171,0.955754,0.946923,0.899197,0.958841,0.953304,0.910775,0.960522,0.958750,0.920769,1.2.826.0.1.3680043.6376
0.994720,0.941259,0.890081,0.936868,0.934237,0.876982,0.997472,0.997432,0.994878,0.942218,0.931593,0.871946,0.958400,0.957059,0.917654,0.897570,0.920759,0.853154,0.934635,0.903226,0.823529,0.929106,0.934078,0.876310,0.944312,0.937007,0.881481,0.954172,0.944818,0.895408,0.934527,0.945356,0.896374,1.2.826.0.1.3680043.30067
0.994391,0.941666,0.890739,0.939356,0.934725,0.877782,0.996457,0.997191,0.994397,0.933403,0.934142,0.876423,0.950453,0.955674,0.915111,0.936627,0.929921,0.869020,0.929760,0.928304,0.866200,0.937731,0.934344,0.876779,0.927954,0.939998,0.886788,0.948074,0.949944,0.904661,0.950848,0.905474,0.827275,1.2.826.0.1.3680043.28025
0.995051,0.941778,0.890782,0.939820,0.934795,0.877718,0.997635,0.997643,0.995297,0.940028,0.935592,0.878979,0.914593,0.930012,0.869179,0.941124,0.915133,0.843544,0.938745,0.934885,0.877731,0.953236,0.931572,0.871909,0.928208,0.938414,0.883973,0.963588,0.945092,0.895900,0.939039,0.947661,0.900528,1.2.826.0.1.3680043.10633
0.994028,0.943994,0.894592,0.935272,0.937367,0.882163,0.997433,0.997003,0.994025,0.918528,0.930598,0.870205,0.928651,0.942184,0.890689,0.932213,0.934210,0.876542,0.943583,0.933453,0.875210,0.948266,0.935345,0.878542,0.932111,0.936021,0.879737,0.956668,0.947858,0.900884,0.922159,0.939270,0.885494,1.2.826.0.1.3680043.24140
0.994515,0.944915,0.896417,0.923237,0.938387,0.884180,0.998073,0.997146,0.994308,0.941747,0.948018,0.901174,0.909684,0.934286,0.876676,0.918813,0.943748,0.893488,0.954094,0.952739,0.909743,0.958648,0.947235,0.899759,0.889649,0.913499,0.840771,0.896012,0.925146,0.860718,0.917247,0.942422,0.891114,1.2.826.0.1.3680043.26442
0.994228,0.948264,0.903452,0.935292,0.942140,0.892067,0.997869,0.997257,0.994530,0.928287,0.946829,0.899028,0.962619,0.968098,0.938169,0.965099,0.960243,0.923527,0.957241,0.958023,0.919428,0.960761,0.900339,0.818743,0.813373,0.883652,0.791556,0.939037,0.955843,0.915421,0.955919,0.964088,0.930666,1.2.826.0.1.3680043.26068
0.995496,0.955366,0.915093,0.954665,0.950080,0.905066,0.997412,0.997651,0.995313,0.912609,0.926393,0.862879,0.962731,0.959920,0.922929,0.962309,0.954532,0.913018,0.960714,0.949393,0.903662,0.960964,0.948240,0.901575,0.958267,0.951132,0.906817,0.956957,0.954107,0.912241,0.962773,0.956923,0.917404,1.2.826.0.1.3680043.19333
0.994346,0.955919,0.916059,0.950117,0.950778,0.906301,0.997171,0.997054,0.994124,0.929872,0.939363,0.885659,0.965539,0.965434,0.933177,0.969647,0.959206,0.921609,0.939251,0.946581,0.898579,0.943561,0.940560,0.887790,0.951069,0.946319,0.898108,0.954540,0.955739,0.915230,0.947456,0.953021,0.910258,1.2.826.0.1.3680043.12281
0.994673,0.960964,0.925315,0.955377,0.956435,0.916677,0.996991,0.997199,0.994414,0.950084,0.960293,0.923620,0.963278,0.968299,0.938545,0.958552,0.962001,0.926783,0.956978,0.956339,0.916331,0.920494,0.932538,0.873604,0.961706,0.959971,0.923023,0.963690,0.958673,0.920627,0.968236,0.953365,0.910886,1.2.826.0.1.3680043.5671
0.996196,0.961594,0.926375,0.955748,0.957041,0.917667,0.998046,0.998017,0.996042,0.949435,0.954965,0.913811,0.963717,0.965159,0.932664,0.960646,0.957467,0.918405,0.953642,0.952555,0.909408,0.952346,0.954890,0.913673,0.935902,0.948445,0.901946,0.965843,0.960168,0.923387,0.964450,0.962677,0.928040,1.2.826.0.1.3680043.5002
0.996964,0.961611,0.926390,0.955424,0.957009,0.917582,0.998524,0.998428,0.996861,0.949105,0.950920,0.906432,0.958253,0.960490,0.923983,0.957730,0.958552,0.920403,0.955100,0.954603,0.913150,0.958898,0.956125,0.915939,0.949841,0.954728,0.913377,0.960633,0.960776,0.924512,0.953833,0.959881,0.922858,1.2.826.0.1.3680043.1542
