study_id,dim_0,dim_1,dim_2,spacing_0,spacing_1,spacing_2,voxel_volume_mm3,in_training_images
1.2.826.0.1.3680043.10633,512,512,429,0.28515625,0.28515625,0.5,0.04065704345703125,True
1.2.826.0.1.3680043.10921,512,512,339,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.11827,512,512,208,0.51171875,0.51171875,1.0,0.2618560791015625,True
1.2.826.0.1.3680043.11988,512,512,217,0.291015625,0.291015625,1.0,0.08469009399414062,True
1.2.826.0.1.3680043.12281,512,512,331,0.234375,0.234375,0.625,0.034332275390625,True
1.2.826.0.1.3680043.12292,512,512,341,0.380859375,0.380859375,0.5,0.07252693176269531,True
1.2.826.0.1.3680043.12833,512,512,261,0.3496094048023224,0.3496094048023224,1.0,0.12222673592623412,True
1.2.826.0.1.3680043.14267,512,512,473,0.35546875,0.35546875,0.4000000059604645,0.05054321364377756,True
1.2.826.0.1.3680043.1480,512,512,451,0.40234375,0.40234375,0.4000000059604645,0.06475219823050793,True
1.2.826.0.1.3680043.15206,512,512,334,0.3046875,0.3046875,0.699999988079071,0.06498412975270185,True
1.2.826.0.1.3680043.1542,512,512,428,0.306640625,0.306640625,0.4000000059604645,0.03761138972060962,True
1.2.826.0.1.3680043.1573,512,512,286,0.3269999921321869,0.3269999921321869,0.800000011920929,0.08554319715825318,True
1.2.826.0.1.3680043.16092,512,512,329,0.359375,0.359375,0.625,0.080718994140625,True
1.2.826.0.1.3680043.16919,512,512,409,0.298828125,0.298828125,0.5,0.04464912414550781,True
1.2.826.0.1.3680043.17481,512,512,407,0.28125,0.28125,0.5,0.03955078125,True
1.2.826.0.1.3680043.17960,512,512,271,0.3515619933605194,0.3515619933605194,0.625,0.07724739698476368,True
1.2.826.0.1.3680043.18480,512,512,462,0.33203125,0.33203125,0.4000000059604645,0.04409790104773492,True
1.2.826.0.1.3680043.1868,512,512,653,0.20507800579071045,0.20507800579071045,0.3125,0.013142808893467084,True
1.2.826.0.1.3680043.18906,512,512,351,0.2753905951976776,0.2753905951976776,0.699999988079071,0.053087985042248785,True
1.2.826.0.1.3680043.18935,512,512,325,0.28320300579071045,0.28320300579071045,0.625,0.050127464055558235,True
1.2.826.0.1.3680043.18968,512,512,411,0.30664101243019104,0.30664101243019104,0.625,0.05876794406513286,True
1.2.826.0.1.3680043.19021,512,512,395,0.466796875,0.466796875,0.5,0.10894966125488281,True
1.2.826.0.1.3680043.19333,512,512,205,0.4296875,0.4296875,1.0,0.18463134765625,True
1.2.826.0.1.3680043.19388,512,512,492,0.376953125,0.376953125,0.4000000059604645,0.056837464225850454,True
1.2.826.0.1.3680043.20647,512,512,263,0.2539060115814209,0.2539060115814209,0.625,0.0402926641982404,True
1.2.826.0.1.3680043.20928,512,512,248,0.3070000112056732,0.3070000112056732,0.800000011920929,0.0753992066277625,True
1.2.826.0.1.3680043.21321,512,512,673,0.296875,0.296875,0.3125,0.0275421142578125,True
1.2.826.0.1.3680043.21651,512,512,510,0.43554699420928955,0.43554699420928955,0.49999988079071045,0.09485056946823006,True
1.2.826.0.1.3680043.24140,512,512,239,0.27300000190734863,0.27300000190734863,0.800000011920929,0.05962320172158481,True
1.2.826.0.1.3680043.24617,512,512,586,0.31200000643730164,0.31200000643730164,0.4000000059604645,0.038937602186965986,True
1.2.826.0.1.3680043.24891,512,512,180,0.3515625,0.3515625,1.0,0.12359619140625,True
1.2.826.0.1.3680043.25704,512,512,257,0.625,0.625,0.625,0.244140625,True
1.2.826.0.1.3680043.25833,512,512,337,0.4453119933605194,0.4453119933605194,0.625,0.12393923214419955,True
1.2.826.0.1.3680043.26068,512,512,623,0.3240000009536743,0.3240000009536743,0.4000000059604645,0.041990400872898105,True
1.2.826.0.1.3680043.26110,512,512,430,0.630859375,0.630859375,0.699999988079071,0.2785884809734398,True
1.2.826.0.1.3680043.26442,512,512,369,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.26492,512,512,286,0.3320310115814209,0.3320310115814209,0.625,0.06890287040736354,True
1.2.826.0.1.3680043.26498,512,512,363,0.4296880066394806,0.4296880066394806,0.625,0.11539486440613145,True
1.2.826.0.1.3680043.26740,512,512,286,0.2539060115814209,0.2539060115814209,0.625,0.0402926641982404,True
1.2.826.0.1.3680043.26898,512,512,593,0.4453125,0.4453125,0.4000000059604645,0.07932129024447931,True
1.2.826.0.1.3680043.26979,512,512,298,0.29492199420928955,0.29492199420928955,0.625,0.05436186416774014,True
1.2.826.0.1.3680043.26990,512,512,242,0.31054699420928955,0.31054699420928955,0.625,0.060274647257765324,True
